descripcion,pregunta
"
                Estoy utilizando el módulo de nómina de Odoo V17 estándar. Definí varios tipos de sobretiempo. Cómo puedo crear reglas para calcular el monto a pagar al empleado por cada tipo de sobretiempo?
            ",Como crear reglas en Odoo estándar nómina para calcular distintos tipos de sobretiempo?
"
                Estoy utilizando el módulo de nómina de Odoo V17 estándar. Definí varios tipos de sobretiempo. Cómo puedo crear reglas para calcular el monto a pagar al empleado por cada tipo de sobretiempo?
            ",Como crear reglas en Odoo estándar nómina para calcular distintos tipos de sobretiempo?
"
                Estoy haciendo un proyecto con el backend en .net y el front en React y tengo un problema al parecer al momento de autorizar el usuario.
Contexto de cómo funciona básicamente la app:
El controlador ...
            ",Manejo de cookies/autorizacion entre .Net y React
"
                Estoy haciendo un proyecto con el backend en .net y el front en React y tengo un problema al parecer al momento de autorizar el usuario.
Contexto de cómo funciona básicamente la app:
El controlador ...
            ",Manejo de cookies/autorizacion entre .Net y React
"
                En mi proyecto tengo un sistema de navegación por pestañas (tab) que contiene extenso contenido cada uno.
Este dónde esté la etiqueta nav, al hacer click sobre un nombre, se muestra su contenido y se ...
            ",Activar dos scroll al mismo tiempo: uno en body y otro en div
"
                En mi proyecto tengo un sistema de navegación por pestañas (tab) que contiene extenso contenido cada uno.
Este dónde esté la etiqueta nav, al hacer click sobre un nombre, se muestra su contenido y se ...
            ",Activar dos scroll al mismo tiempo: uno en body y otro en div
"
                Quiero hacer booteable un USB con partición BtrFS con grub4dos.
¿Es posible? ¿Cómo lo hago?
            ",¿Cómo le pongo grub4dos a un BtrFS?
"
                Quiero hacer booteable un USB con partición BtrFS con grub4dos.
¿Es posible? ¿Cómo lo hago?
            ",¿Cómo le pongo grub4dos a un BtrFS?
"
                estoy aprendiendo Kotlin en hyperskill, y hay un problema que dice lo siguiente:
Find a directory with the max number of files
You must write a program that finds a directory with the maximum number ...
            ",Obtener una lista de directorios con su cantidad de archivo en kotlin
"
                estoy aprendiendo Kotlin en hyperskill, y hay un problema que dice lo siguiente:
Find a directory with the max number of files
You must write a program that finds a directory with the maximum number ...
            ",Obtener una lista de directorios con su cantidad de archivo en kotlin
"
                launch: program 'c:/users/zS24016721/programa4.exe' does not exist
            ",Al momento de intentar compilar cualquier codigo en Visual Studio Code me arroja un cuadro de texto diciendo que no existe [cerrada]
"
                launch: program 'c:/users/zS24016721/programa4.exe' does not exist
            ",Al momento de intentar compilar cualquier codigo en Visual Studio Code me arroja un cuadro de texto diciendo que no existe [cerrada]
"
                Entorno: Digital Persona 4500 con macro VB de Excel.
Quiero ampliar un aplicativo existente para verificar que alguien autoriza la operativa.
Si el lector detecta una huella se activa un control ...
            ",VB Excel obtener huella dactilar y verificarla
"
                Entorno: Digital Persona 4500 con macro VB de Excel.
Quiero ampliar un aplicativo existente para verificar que alguien autoriza la operativa.
Si el lector detecta una huella se activa un control ...
            ",VB Excel obtener huella dactilar y verificarla
"
                Tengo elementos que muestro a través de un arreglo que se llena desde una base datos. Uno de los elementos es una imagen. Mi idea es que al pasar el ratón por la imagen esta desaparezca y se ...
            ",AddeventListener con mouseover y mouseout en arrreglos
"
                Tengo elementos que muestro a través de un arreglo que se llena desde una base datos. Uno de los elementos es una imagen. Mi idea es que al pasar el ratón por la imagen esta desaparezca y se ...
            ",AddeventListener con mouseover y mouseout en arrreglos
"
                tengo una duda es como mostrar dos resultados en el mismo case
select (a.prvrtn)RTN, (b.CmpCabAplGtoPol)Documento, (b.cmpprvcai)CAI, 
(b.CmpPrvFactura)NFactura, (a.PrvNombre)Ndocumento, (b....
            ",Como realizar una consulta con un case que me muestre dos resultados en una misma fila?
"
                tengo una duda es como mostrar dos resultados en el mismo case
select (a.prvrtn)RTN, (b.CmpCabAplGtoPol)Documento, (b.cmpprvcai)CAI, 
(b.CmpPrvFactura)NFactura, (a.PrvNombre)Ndocumento, (b....
            ",Como realizar una consulta con un case que me muestre dos resultados en una misma fila?
"
                Al descargar Android Studio con la configuración predeterminada me aparece el error:
**FAILURE: Build failed with an exception.

What went wrong:
A build operation failed.
Could not move temporary ...
            ","Error Inicial al Descargar Android Studio (""Could not move temporary workspace to immutable location"")"
"
                Al descargar Android Studio con la configuración predeterminada me aparece el error:
**FAILURE: Build failed with an exception.

What went wrong:
A build operation failed.
Could not move temporary ...
            ","Error Inicial al Descargar Android Studio (""Could not move temporary workspace to immutable location"")"
"
                En Genexus 18 U6, tengo un web panel en el cual quiero mostrar una Animation, siguiendo la documentación.
Al ejecutar el evento, el web panel no me muestra nada, y si veo la consola de desarrollador ...
            ",Animation busca mal el archivo JSON
"
                En Genexus 18 U6, tengo un web panel en el cual quiero mostrar una Animation, siguiendo la documentación.
Al ejecutar el evento, el web panel no me muestra nada, y si veo la consola de desarrollador ...
            ",Animation busca mal el archivo JSON
"
                Estoy realizando una página blog utilizando Next.js y quería saber que es mejor para realizar los cuerpos de las páginas, pensé utilizar alguna librería con TinyMCE o CKEditor para general el HTML, ...
            ",Que es mejor para crear un blog Markdown o HTML? [cerrada]
"
                Estoy realizando una página blog utilizando Next.js y quería saber que es mejor para realizar los cuerpos de las páginas, pensé utilizar alguna librería con TinyMCE o CKEditor para general el HTML, ...
            ",Que es mejor para crear un blog Markdown o HTML? [cerrada]
"
                Estoy creando mi interfaz en python con tkinter y estoy utilizando como fondo una imágen.
Tengo mi siguiente label:
tk.Label(root, text=""Bienvenidos"", font=('Arial', 16), bg='#FFFFFF', fg='#...
            ",Color de fondo transparente en tkinter
"
                Estoy creando mi interfaz en python con tkinter y estoy utilizando como fondo una imágen.
Tengo mi siguiente label:
tk.Label(root, text=""Bienvenidos"", font=('Arial', 16), bg='#FFFFFF', fg='#...
            ",Color de fondo transparente en tkinter
"
                Supongamos que queremos introducir por teclado una secuencia formada por una letra y 9 números separados por un espacio, por ejemplo:
C 1 2 3 4 5 6 7 8 9

Si lo hiciéramos en C++ haríamos:
char letra;
...
            ",input sobre una secuencia de una letras y 9 numeros
"
                Supongamos que queremos introducir por teclado una secuencia formada por una letra y 9 números separados por un espacio, por ejemplo:
C 1 2 3 4 5 6 7 8 9

Si lo hiciéramos en C++ haríamos:
char letra;
...
            ",input sobre una secuencia de una letras y 9 numeros
"
                Tengo un listado de tareas ObservableCollection que tiene anidado un listado de produtcos(cada tarea tiene productos distintos.):
  public async Task obtenerTareasC(string idAgente)
 {
   ....
        ...
            ",No logro mostrar lista anidada en Picker NET MAUI
"
                Tengo un listado de tareas ObservableCollection que tiene anidado un listado de produtcos(cada tarea tiene productos distintos.):
  public async Task obtenerTareasC(string idAgente)
 {
   ....
        ...
            ",No logro mostrar lista anidada en Picker NET MAUI
"
                Estoy intentando enviar bytes desde el serial Arduino para un dispositivo serial de RS232 de StarTech en el que recibe la información serial desde un puerto RS232 que está conectado con el RX/TX del ...
            ",Problema de serial entre Arduino y Python
"
                Estoy intentando enviar bytes desde el serial Arduino para un dispositivo serial de RS232 de StarTech en el que recibe la información serial desde un puerto RS232 que está conectado con el RX/TX del ...
            ",Problema de serial entre Arduino y Python
"
                Como dice en el título estoy desarrollando una aplicacion de escritorio en WPF y en .NET Framework 4.8.(Todo con Visual Studio 2022)
Estoy utilizando SQL EXPRESS de motor de BD con la instalacion ...
            ","Bloqueo o Errores SQL (Aplicacion WPF .NET Framework 4,8) C#"
"
                Como dice en el título estoy desarrollando una aplicacion de escritorio en WPF y en .NET Framework 4.8.(Todo con Visual Studio 2022)
Estoy utilizando SQL EXPRESS de motor de BD con la instalacion ...
            ","Bloqueo o Errores SQL (Aplicacion WPF .NET Framework 4,8) C#"
"
                Muy buenas,
Intento pasar un array de datos en formato JSON desde PHP a una función JavaScript mediante un enlace HTML:
echo '<a href=""#"" onclick=PDFComplejo('. json_encode($filas).')&...
            ",Pasar Array de datos en JSON a JavaScript <a onclick
"
                Muy buenas,
Intento pasar un array de datos en formato JSON desde PHP a una función JavaScript mediante un enlace HTML:
echo '<a href=""#"" onclick=PDFComplejo('. json_encode($filas).')&...
            ",Pasar Array de datos en JSON a JavaScript <a onclick
